Objects,Runtime
100,0.0004461000000000048
200,0.0016241000000000033
300,0.0038242
400,0.0070825000000000055
500,0.011146200000000009
600,0.016367799999999988
700,0.022633399999999998
800,0.030291800000000008
900,0.03945960000000001
1000,0.04964029999999997
1100,0.0587742
1200,0.07026090000000002
1300,0.07884570000000002
1400,0.09366730000000001
1500,0.10225949999999995
1600,0.1259884
1700,0.1416675999999999
1800,0.15159709999999982
1900,0.1650011
2000,0.1899997
2100,0.21098440000000007
2200,0.22531899999999982
2300,0.25143780000000016
2400,0.27704299999999993
2500,0.30765220000000015
2600,0.31557900000000005
2700,0.34415330000000033
2800,0.3923901000000001
2900,0.4037229
3000,0.4326845000000006
3100,0.4515444999999998
3200,0.47966009999999937
3300,0.5132500999999996
3400,0.5425497999999997
3500,0.5784811999999997
3600,0.6009255999999992
3700,0.6476501999999993
3800,0.6968354000000012
3900,0.7154186000000013
4000,0.7707022000000006
4100,0.7888991999999995
4200,0.8867946999999994
4300,0.9242296999999997
4400,0.9217697999999999
4500,0.9787070999999994
4600,1.0089645999999988
4700,1.0597449000000019
4800,1.141871499999997
4900,1.1666986000000001
5000,1.2246409999999983
5100,1.2473302000000004
5200,1.3377301999999993
5300,1.3818431999999987
5400,1.3820025999999999
5500,1.5117727999999993
5600,1.558551399999999
5700,1.6057818000000026
5800,1.6626785999999996
5900,1.683439700000001
6000,1.7086247000000014
6100,1.7972265000000007
6200,1.8782989999999984
6300,1.9393771000000015
6400,2.021161499999998
6500,2.016653099999999
6600,2.145456199999998
6700,2.1389645
6800,2.217553599999995
6900,2.295008199999998
7000,2.360748600000001
7100,2.4938503999999995
7200,2.472218599999998
7300,2.610032199999992
7400,2.6017757000000046
7500,2.7219029999999975
7600,2.7239272999999997
7700,2.839300499999993
7800,2.8910819999999973
7900,3.010496599999996
8000,3.0971356000000014
8100,3.114092499999998
8200,3.1728114999999946
8300,3.4144308999999993
8400,3.3428432999999984
8500,3.4534055000000023
8600,3.543879599999997
8700,3.574723999999989
8800,3.6670534999999944
8900,3.7520556000000056
9000,3.8292913000000084
9100,3.897986099999997
9200,4.022928699999994
9300,4.090660799999995
9400,4.128794900000003
9500,4.231035399999996
9600,4.3377035000000035
9700,4.437063499999994
9800,4.540863899999977
9900,4.618955099999994
10000,4.6972761000000105
10100,4.791633499999989
10200,4.896812799999992
10300,5.087373100000008
10400,5.119804999999985
10500,5.2052764000000025
10600,5.326318600000008
10700,5.372225600000007
10800,5.530529300000012
10900,5.636802200000005
11000,5.727430999999996
11100,5.805533400000002
11200,5.951632200000006
11300,6.118143799999984
11400,6.158325399999995
11500,6.281719899999985
11600,6.393620099999964
11700,6.424082800000008
11800,6.563264800000013
11900,6.6476215999999795
12000,6.833790499999964
12100,7.050543800000014
12200,7.2610992000000465
12300,7.205647599999963
12400,7.357222899999954
12500,7.468988299999978
12600,7.538398699999959
12700,7.730626599999994
12800,7.766680500000007
12900,7.973261300000047
13000,8.194352700000024
13100,8.249220999999977
13200,8.267832499999997
13300,8.631214399999976
13400,8.820976900000005
13500,8.83056270000003
13600,8.852722700000015
13700,9.056720299999995
13800,9.123729099999991
13900,9.50734209999996
14000,9.426157199999977
14100,9.780391599999973
14200,9.692647899999997
14300,10.23990379999998
14400,10.1180971
14500,9.990619899999956
14600,10.610233499999993
14700,10.552615100000025
14800,10.732822300000066
14900,10.569060000000036
15000,10.716676399999983
15100,10.86209180000003
15200,11.051546899999948
15300,11.332794100000001
15400,11.231156099999907
15500,11.476167800000098
15600,11.675953800000002
15700,11.710931800000026
15800,11.792992199999958
15900,12.138042600000063
16000,12.45227049999994
16100,13.018558499999926
16200,13.074758700000075
16300,12.971902399999976
16400,13.053530899999942
16500,13.318179600000008
16600,13.409621500000071
16700,14.343440600000008
16800,14.08006140000009
16900,13.984343800000033
17000,14.227085699999975
17100,14.173568600000067
17200,14.945456100000001
17300,14.445955800000092
17400,15.06588690000001
17500,14.80520039999999
17600,15.326890599999956
17700,15.811133899999959
17800,15.570769799999994
17900,15.630601400000046
18000,15.829270399999928
18100,15.682490799999982
18200,16.343380199999956
